2025/12/03 02:44:25 PM > ep 198 done. total_steps=4773 | reward=41.0 | episode_steps=41 | hours=0.019 | epsilon=0.809
2025/12/03 02:44:26 PM > ep 199 done. total_steps=4806 | reward=33.0 | episode_steps=33 | hours=0.019 | epsilon=0.808
2025/12/03 02:44:26 PM > ep 200 done. total_steps=4845 | reward=39.0 | episode_steps=39 | hours=0.019 | epsilon=0.806
2025/12/03 02:44:27 PM > ep 201 done. total_steps=4916 | reward=71.0 | episode_steps=71 | hours=0.020 | epsilon=0.804
2025/12/03 02:44:28 PM > ep 202 done. total_steps=4951 | reward=35.0 | episode_steps=35 | hours=0.020 | epsilon=0.803
2025/12/03 02:44:28 PM > ep 203 done. total_steps=4988 | reward=37.0 | episode_steps=37 | hours=0.020 | epsilon=0.801
2025/12/03 02:44:29 PM > ep 204 done. total_steps=5044 | reward=56.0 | episode_steps=56 | hours=0.020 | epsilon=0.799
2025/12/03 02:44:30 PM > ep 205 done. total_steps=5111 | reward=67.0 | episode_steps=67 | hours=0.020 | epsilon=0.797
2025/12/03 02:44:31 PM > ep 206 done. total_steps=5163 | reward=52.0 | episode_steps=52 | hours=0.020 | epsilon=0.795
2025/12/03 02:44:32 PM > ep 207 done. total_steps=5226 | reward=63.0 | episode_steps=63 | hours=0.021 | epsilon=0.793
2025/12/03 02:44:32 PM > ep 208 done. total_steps=5260 | reward=34.0 | episode_steps=34 | hours=0.021 | epsilon=0.792
2025/12/03 02:44:33 PM > ep 209 done. total_steps=5301 | reward=41.0 | episode_steps=41 | hours=0.021 | epsilon=0.790
2025/12/03 02:44:33 PM > ep 210 done. total_steps=5342 | reward=41.0 | episode_steps=41 | hours=0.021 | epsilon=0.789
2025/12/03 02:44:34 PM > ep 211 done. total_steps=5389 | reward=47.0 | episode_steps=47 | hours=0.021 | epsilon=0.787
2025/12/03 02:44:35 PM > ep 212 done. total_steps=5449 | reward=60.0 | episode_steps=60 | hours=0.022 | epsilon=0.785
