2025/12/04 01:01:17 PM > ep 116 done. total_steps=35587 | reward=1.0 | episode_steps=101 | hours=0.055 | epsilon=0.252
2025/12/04 01:01:18 PM > ep 117 done. total_steps=35734 | reward=1.0 | episode_steps=147 | hours=0.055 | epsilon=0.251
2025/12/04 01:01:19 PM > ep 118 done. total_steps=36019 | reward=1.0 | episode_steps=285 | hours=0.056 | epsilon=0.249
2025/12/04 01:01:19 PM > ep 119 done. total_steps=36021 | reward=1.0 | episode_steps=2 | hours=0.056 | epsilon=0.249
2025/12/04 01:01:20 PM > ep 120 done. total_steps=36189 | reward=1.0 | episode_steps=168 | hours=0.056 | epsilon=0.247
2025/12/04 01:01:21 PM > ep 121 done. total_steps=36397 | reward=1.0 | episode_steps=208 | hours=0.056 | epsilon=0.246
2025/12/04 01:01:23 PM > ep 122 done. total_steps=36796 | reward=1.0 | episode_steps=399 | hours=0.057 | epsilon=0.243
2025/12/04 01:01:26 PM > ep 123 done. total_steps=37288 | reward=1.0 | episode_steps=492 | hours=0.058 | epsilon=0.239
2025/12/04 01:01:27 PM > ep 124 done. total_steps=37473 | reward=1.0 | episode_steps=185 | hours=0.058 | epsilon=0.238
2025/12/04 01:01:28 PM > ep 125 done. total_steps=37697 | reward=1.0 | episode_steps=224 | hours=0.058 | epsilon=0.237
2025/12/04 01:01:28 PM > ep 126 done. total_steps=37720 | reward=1.0 | episode_steps=23 | hours=0.058 | epsilon=0.237
2025/12/04 01:01:29 PM > ep 127 done. total_steps=37934 | reward=1.0 | episode_steps=214 | hours=0.059 | epsilon=0.235
2025/12/04 01:01:30 PM > ep 128 done. total_steps=38011 | reward=1.0 | episode_steps=77 | hours=0.059 | epsilon=0.235
2025/12/04 01:01:31 PM > ep 129 done. total_steps=38228 | reward=1.0 | episode_steps=217 | hours=0.059 | epsilon=0.233
2025/12/04 01:01:31 PM > ep 130 done. total_steps=38233 | reward=1.0 | episode_steps=5 | hours=0.059 | epsilon=0.233
2025/12/04 01:01:32 PM > ep 131 done. total_steps=38498 | reward=1.0 | episode_steps=265 | hours=0.059 | epsilon=0.231
2025/12/04 01:01:32 PM > ep 132 done. total_steps=38502 | reward=1.0 | episode_steps=4 | hours=0.059 | epsilon=0.231
2025/12/04 01:01:34 PM > ep 133 done. total_steps=38728 | reward=1.0 | episode_steps=226 | hours=0.060 | epsilon=0.230
2025/12/04 01:01:36 PM > ep 134 done. total_steps=39103 | reward=1.0 | episode_steps=375 | hours=0.060 | epsilon=0.227
